full:0.001,full:0.004,full:0.02,full:0.04
2.24783408,1.97532682969,1.599594229,1.43600111558
2.27259870722,1.76490395619,1.32756870343,1.21910523727
2.51453121855,1.79824974491,2.02864124729,1.67253416135
2.93845710494,3.14322001218,2.18159928276,1.60659574821
2.49281578614,1.9644769664,1.4130374129,1.40340333535
2.15355631067,1.76385971262,1.45699673249,1.26441621139
2.33686610415,1.76091598823,1.28726827457,1.15583359553
2.70553185894,3.01401756062,4.07692595675,3.01451938703
5.55938773706,5.62274020269,2.4014021094,1.4393827255
2.52625917747,2.4316638942,1.81412153794,1.54327040269
2.21292951061,2.15419542148,2.16677739575,2.08536701753
2.18191199853,1.92234122111,1.4142115648,1.32302730634
2.36177162184,2.50147531285,1.94416602804,1.38382076575
3.34827650442,2.25073435261,1.74782320215,1.85156967594
2.77223623217,2.00701689078,1.33931671931,1.14369272544
2.26557340576,1.89141976192,1.50089448049,1.447702163
2.21856843783,2.22762570633,1.46530377223,1.38608389451
2.30332628741,3.17569600894,1.88226663425,1.42877685382
4.10055118157,2.07508631899,1.89394142582,1.80557157948
2.36686762526,1.79258149221,1.54144918277,1.41711705281
2.62325065686,1.74515127494,1.42742829873,1.28142147615
2.4133633907,2.17072988405,1.32447605683,1.22040587022
2.82106618314,1.82564171507,1.70827930524,1.37505292251
2.86943378403,2.5942807953,3.78159567072,4.02658673479
2.15260204031,3.49091620102,2.67157995804,2.93144145711
2.57295414164,1.99672993376,1.50287281825,1.4782142575
2.17159041121,1.7777918811,1.62452989175,1.39885174586
2.23326762869,2.0981427665,1.76780384137,1.6479269202
4.57451754167,3.77332715048,2.30945237829,2.00754495813
2.47717031195,1.68600487067,1.54458271815,1.41722809627
2.56070956691,1.94979807093,1.43134456231,1.27914326741
2.26149677589,2.22096302464,1.59505473926,1.32006394221
2.36797940089,2.02402632787,1.32247077777,1.30083089425
2.77108644797,2.7474209006,2.34860450878,2.43513804032
2.5554275523,1.71822597935,2.04259284689,1.84907754614
2.30848499491,2.10466491534,1.38717185809,1.25730597331
2.40609576656,1.75056108191,1.29816269233,1.19372593715
2.72785977377,2.31148364498,1.23460560395,1.33386301353
2.43423157289,2.90895018644,2.09760054304,1.57579540565
2.10873066737,1.7708943124,1.14578019931,1.07032393767
2.23923733189,1.96027284219,1.5704551871,1.32237630441
2.27263265206,1.77529382064,1.37397223069,1.219376498
3.03000031701,1.71088018372,1.21807872607,1.13642662122
2.65158902212,2.63596622004,2.05245988919,1.98124807431
2.16866379335,1.68459176375,1.24332486941,1.32427471234
2.19494613363,1.79142352297,1.93218403413,1.55418884112
2.15573128416,1.81179290368,1.23269503667,1.12268018081
4.59110560371,1.78244125201,1.30910449578,1.47580462052
3.28622772462,2.08343219115,1.60625510766,1.62520068242
2.21060004189,1.73014568641,2.13844462587,2.01618658855
2.25332700564,1.74070563271,1.49131941154,1.29549776866
2.12015783145,1.65831913902,1.21229731395,1.10796868159
3.6005553539,2.50074755504,1.64857395842,1.78452583506
3.78474702789,2.24118133738,2.04692681982,2.27540194347
2.12638627841,1.78475373342,2.0372006829,1.30204814031
2.28873216464,1.84337004377,1.65723513915,1.56091015889
2.14845677569,1.67848842694,1.22820096566,1.13411878898
2.61619920387,3.6777423407,2.00758829071,1.79174318268
3.5259438987,9.48264175012,2.09214063837,2.15399768307
2.57366430118,2.17069053008,2.04705541684,1.25711452319
2.18653308704,1.77641113951,1.81204664065,1.63603573396
2.15280794456,1.70732953503,1.21739547803,1.07458161666
2.440496632,2.35189197316,2.82591574742,2.57324303045
2.30612998559,2.73133676975,1.58466970279,1.61042308166
2.43260359122,2.14172902062,1.79203801705,1.45114421203
2.20193328812,1.74789532377,1.83522205903,1.66433113172
2.1441297765,1.68248619988,1.19820504739,1.10324549033
2.2232865925,1.95782738282,1.58798604562,1.57234364106
2.71204498886,2.64057110353,2.00056027724,1.38297765805
2.52030214026,2.1278555329,1.80121725156,1.60709946706
2.28135012939,1.7692786093,1.7944601412,1.64645587756
2.35188543155,1.74928554251,1.26914470746,1.07774453713
2.34740211918,1.82974871351,1.55156915738,1.468778425
2.95152173295,2.1269520755,1.53995221212,1.36129468038
2.5903341259,1.98251115634,1.33211290195,1.24979221179
2.1935816045,1.78830009057,1.36271446302,1.23162340476
2.35152063622,1.64250870897,1.19095461919,1.11231475427
4.22898899867,2.25922123446,1.78398784353,1.44624316051
4.01328683003,3.63585766508,2.24911808326,1.70802032306
4.69863586976,2.77360559358,1.39204376294,1.25787311151
2.36419876768,2.00118770554,1.5554268296,1.40984099462
2.73747157409,2.23588653757,1.45533787562,1.13267206504
2.9278516966,2.05329351976,1.87373887851,1.81222494795
3.63566400959,2.40679808809,2.02743902161,1.95598747685
2.23274966433,1.90722774818,1.41544496371,1.21819036557
2.25683837487,2.31220524861,1.66542404248,1.31856911733
2.5970905508,2.30008369042,1.51480942323,1.46823161199
2.74119158938,2.33384563877,2.26109869136,1.84666042878
2.26246415927,2.09446590497,1.78404607727,1.37888871982
2.22700902178,1.92126097633,1.3562196429,1.21389507606
2.14845167949,2.16823762014,1.34051781251,1.24644570901
2.25464408948,1.90104159071,1.60033326699,1.51195555284
2.84325735747,2.20608472182,1.97528573229,1.57320612027
3.17068407043,2.28258156135,1.7205840285,1.61963053896
2.1718611653,1.77751278236,1.36238085582,1.23301392152
2.17424517228,1.88190236046,1.24870216205,1.14747213676
2.31527610972,1.85733722999,1.19180195882,1.16736190869
2.94232248618,2.12658908321,1.7575496371,1.44494878604
3.42414478316,1.76826664164,1.35320644929,1.34956675126
2.21890740945,1.73177337005,1.31565874173,1.27293532445
2.14651732995,1.6934109266,1.337698334,1.20317750527
2.4613560672,1.71461927249,1.20538937404,1.21468060567
2.49019803955,3.15421583607,1.8868690665,1.71233796432
2.37895534291,1.9769386883,1.19993906571,1.07841961934
2.3386646445,1.73023118927,1.33161216333,1.22710728004
2.23693930461,1.74121191456,1.33946114137,1.23713450982
2.25634762003,1.70145716621,1.24771880462,1.16041856362
2.63640384479,2.88994692369,1.73658799483,1.88959973409
2.19839798762,2.00597029283,1.41457324578,1.40329968288
