full:0.1,full:0.2,full:0.5,full:1.0,mix1:0.1,mix1:0.2,mix1:0.5,mix1:1.0,mix2:0.1,mix2:0.2,mix2:0.5,mix2:1.0,GAUS:,WARP:
3.07545321295,3.05217554866,3.03302727339,3.02343348156,3.10316998629,3.11172684958,3.20695863113,3.26790761366,3.12184170189,3.11429637679,3.20992233452,3.24522047687,2.20236498874,2.85366937168
2.23195484659,2.20243872128,2.19342222987,2.1928988879,2.23292981162,2.24081807634,2.32224412837,2.4037864607,2.25068848109,2.24769326562,2.31797238515,2.4037414763,2.00186697734,2.08615018142
1.14294039859,1.13952138428,1.13781422216,1.1361983256,1.1296456199,1.12039572666,1.12080006167,1.13533513731,1.12894814396,1.11974312067,1.11821968587,1.13271600958,1.67575814287,1.14431078358
1.18248877511,1.17715105856,1.17405129498,1.17140930283,1.16723125749,1.16086072145,1.17551944354,1.21101412935,1.17070374996,1.16182598543,1.17369671164,1.20738904681,1.65898686538,1.16296830795
3.44198149767,3.44126877416,3.44134319551,3.45019137559,3.51200758457,3.56229995839,3.6315182198,3.7406203173,3.54496319244,3.59946952724,3.62548422473,3.72455917706,2.37299013393,2.98705181147
1.20186560536,1.19247586231,1.19066209906,1.18786053846,1.19104011505,1.18520928696,1.22423587195,1.30334388315,1.19331049815,1.18687548252,1.22160929658,1.29275045827,1.6547069567,1.17538913074
1.43720143185,1.43728092081,1.43989149436,1.43631001422,1.43601901062,1.42625051793,1.40792418708,1.38464978921,1.42947953694,1.42615085552,1.40416376109,1.38462095679,1.78106717235,1.39956164031
1.38866377923,1.39294689821,1.39917332088,1.40362884446,1.3861446946,1.36996287423,1.32063401765,1.26142873988,1.37602803122,1.36836239365,1.31457433233,1.26399141377,1.85144139753,1.50776326221
1.96929466027,1.97923797994,1.98171247997,1.98565968102,2.00235483996,1.98721950364,1.98422490684,1.92933190062,1.98303534671,1.98718420254,1.98055900497,1.9290518033,2.01067928424,1.8939989678
1.28473105294,1.2773732416,1.27351360604,1.26935539439,1.26448803166,1.26242354324,1.31067149704,1.45341408219,1.28251114843,1.26667837042,1.3097825604,1.44468856983,1.66595538559,1.20010785721
1.16409754285,1.13007428146,1.12352136144,1.08474109499,1.25955955433,1.17805163886,1.45326447811,1.79416447488,1.23691904298,1.15150174463,1.45751428453,1.82044650339,1.7013758963,0.853509059555
