m,model_sp,v,x
0.469538847502,full:1.0,0.00274937628681,1864.42314795
0.469330579024,full:1.0,0.00273632855133,1864.56013425
0.469108085453,full:1.0,0.00272366718183,1864.69712055
0.468871355089,full:1.0,0.00271138057121,1864.83410685
0.468620378824,full:1.0,0.00269945716106,1864.97109315
0.468355150148,full:1.0,0.00268788544788,1865.10807945
0.468075665158,full:1.0,0.00267665398925,1865.24506575
0.467781922563,full:1.0,0.00266575140991,1865.38205205
0.467473923686,full:1.0,0.00265516640777,1865.51903836
0.467151672472,full:1.0,0.00264488775978,1865.65602466
0.466815175488,full:1.0,0.00263490432773,1865.79301096
0.466464441927,full:1.0,0.00262520506395,1865.92999726
0.466099483605,full:1.0,0.00261577901688,1866.06698356
0.465720314965,full:1.0,0.00260661533654,1866.20396986
0.465326953074,full:1.0,0.00259770327986,1866.34095616
0.464919417621,full:1.0,0.00258903221589,1866.47794247
0.464497730914,full:1.0,0.0025805916309,1866.61492877
0.464061917876,full:1.0,0.00257237113331,1866.75191507
0.463612006043,full:1.0,0.00256436045847,1866.88890137
0.463148025551,full:1.0,0.00255654947338,1867.02588767
0.462670009137,full:1.0,0.00254892818116,1867.16287397
0.462177992126,full:1.0,0.00254148672542,1867.29986027
0.461672012426,full:1.0,0.00253421539446,1867.43684658
0.461152110512,full:1.0,0.00252710462534,1867.57383288
0.460618329424,full:1.0,0.00252014500775,1867.71081918
0.460070714748,full:1.0,0.00251332728773,1867.84780548
0.459509314609,full:1.0,0.00250664237123,1867.98479178
0.458934179651,full:1.0,0.0025000813275,1868.12177808
0.458345363029,full:1.0,0.0024936353923,1868.25876438
0.457742920391,full:1.0,0.00248729597096,1868.39575068
0.457126909861,full:1.0,0.00248105464123,1868.53273699
0.456497392023,full:1.0,0.00247490315599,1868.66972329
0.4558544299,full:1.0,0.00246883344574,1868.80670959
0.455198088943,full:1.0,0.00246283762099,1868.94369589
0.454528436999,full:1.0,0.00245690797437,1869.08068219
0.453845544303,full:1.0,0.00245103698264,1869.21766849
0.453149483448,full:1.0,0.0024452173085,1869.35465479
0.452440329363,full:1.0,0.0024394418022,1869.4916411
0.451718159295,full:1.0,0.00243370350299,1869.6286274
0.450983052781,full:1.0,0.00242799564041,1869.7656137
0.450235091624,full:1.0,0.00242231163534,1869.9026
0.449474359867,full:1.0,0.00241664510097,1870.0395863
0.448700943766,full:1.0,0.00241098984352,1870.1765726
0.447914931767,full:1.0,0.0024053398628,1870.3135589
0.447116414473,full:1.0,0.0023996893526,1870.45054521
0.446305484615,full:1.0,0.00239403270095,1870.58753151
0.445482237029,full:1.0,0.00238836449015,1870.72451781
0.444646768619,full:1.0,0.00238267949668,1870.86150411
0.443799178331,full:1.0,0.00237697269092,1870.99849041
0.442939567118,full:1.0,0.0023712392367,1871.13547671
0.442068037911,full:1.0,0.00236547449077,1871.27246301
